Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Horario;
PALMAS (LAS);MOGÁN;MOGAN;35140;DIQUE SUR. PUERTO DE MOGAN;N;-15,764056;27,815861;1,339;;1,349;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 09:00-13:00 y 15:00-17:50;
PALMAS (LAS);SAN BARTOLOMÉ DE TIRAJANA;SAN BARTOLOME TIRAJANA;35106;CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO);N;-15,621667;27,746944;1,382;;1,381;;;DISA;Suministro a barcos deportivos o de recreo;L-D: 08:00-18:00;
PALMAS (LAS);YAIZA;YAIZA;35570;C/ EL BERRUGO, 2;N;-13,816639;28,857111;1,399;;1,399;;;MARINA RUBICON;Suministro a barcos deportivos o de recreo;L-D: 07:30-19:30;
PALMAS (LAS);YAIZA;PUERTO CALERO;35570;LOS PANTALANES S/N;N;-13,705333;28,915833;1,410;;1,380;;;MARINA PUERTO CALERO;Suministro a barcos deportivos o de recreo;L-D: 08:15-19:45;
PONTEVEDRA;BAIONA;BAIONA;36300;AVDA. MONTE REAL, S/N;N;-8,845194;42,118750;1,435;;1,457;;;;Suministro a barcos deportivos o de recreo;L: 09:00-19:30;
PONTEVEDRA;BUEU;BUEU;36930;MUELLE PESQUERO, S/Nº;N;-8,785126;42,329376;;;1,721;851,000;;REPSOL;Mixto;L-D: 24H;
PONTEVEDRA;CAMBADOS;CAMBADOS;36630;MUELLE DE TRAGOVE, S/Nº;N;-8,828182;42,518542;;;;855,000;;REPSOL;Mixto;L-D: 24H;
PONTEVEDRA;CANGAS;CANGAS;36940;PUERTO DE CANGAS, S/N;N;;;1,699;;1,729;886,000;;COMBUSTIBLES PUERTO DE CANGAS;Mixto;"L-V: 08:30-14:00 y 16:30-19:30; S: 10:00-14:00";
PONTEVEDRA;MOAÑA;MOAÑA;36950;MUELLE PESQUERO, S/Nº;N;-8,735126;42,274931;;;;841,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
PONTEVEDRA;SANXENXO;SANXENXO;36960;AVENIDA AUGUSTO GONZALEZ BESADA, S/N;N;-8,804015;42,395292;1,890;;1,890;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 10:00-13:30 y 16:00-19:00;
